iter	Passed	Remaining
766	23926	100852
767	23952	100800
768	23977	100742
769	24004	100695
770	24031	100645
771	24057	100594
772	24084	100545
773	24115	100512
774	24140	100454
775	24166	100401
776	24194	100359
777	24221	100312
778	24255	100291
779	24280	100236
780	24311	100203
781	24337	100151
782	24366	100112
783	24393	100062
784	24418	100007
785	24441	99942
786	24466	99888
787	24491	99830
788	24514	99766
789	24536	99699
790	24555	99619
791	24579	99560
792	24603	99501
793	24628	99444
794	24652	99385
795	24676	99326
796	24699	99262
797	24727	99221
798	24754	99171
799	24777	99109
800	24799	99043
801	24820	98973
802	24845	98919
803	24871	98866
804	24894	98805
805	24921	98759
806	24945	98702
807	24965	98624
808	24990	98572
809	25015	98517
810	25040	98462
811	25062	98399
812	25087	98344
813	25111	98287
814	25137	98237
815	25162	98183
816	25186	98123
817	25209	98064
818	25228	97987
819	25254	97936
820	25278	97882
821	25302	97823
822	25325	97763
823	25350	97711
824	25380	97678
825	25408	97635
826	25437	97595
827	25461	97542
828	25486	97489
829	25514	97447
830	25544	97413
831	25572	97370
832	25596	97316
833	25623	97269
834	25651	97230
835	25678	97184
836	25704	97137
837	25731	97092
838	25755	97035
839	25783	96995
840	25812	96958
841	25838	96911
842	25867	96873
843	25896	96835
844	25922	96788
845	25950	96745
846	25975	96694
847	26003	96655
848	26030	96610
849	26059	96573
850	26088	96537
851	26114	96488
852	26140	96440
853	26168	96401
854	26197	96362
855	26223	96314
856	26250	96273
857	26278	96230
858	26301	96175
859	26330	96137
860	26361	96106
861	26389	96068
862	26417	96025
863	26444	95985
864	26475	95953
865	26500	95903
866	26525	95853
867	26552	95807
868	26580	95769
869	26612	95744
870	26637	95694
871	26664	95649
872	26689	95599
873	26718	95564
874	26751	95541
875	26779	95500
876	26803	95448
877	26826	95388
878	26861	95375
879	26892	95344
880	26918	95299
881	26944	95253
882	26974	95220
883	27002	95182
884	27028	95134
885	27053	95083
886	27077	95032
887	27105	94992
888	27134	94953
889	27158	94902
890	27186	94864
891	27209	94807
892	27237	94766
893	27266	94731
894	27291	94682
895	27318	94638
896	27343	94590
897	27371	94552
898	27400	94516
899	27428	94474
900	27454	94429
901	27483	94394
902	27514	94365
903	27542	94325
904	27568	94281
905	27595	94239
906	27622	94195
907	27658	94184
908	27682	94134
909	27705	94078
910	27734	94040
911	27764	94008
912	27794	93977
913	27821	93936
914	27849	93897
915	27880	93868
916	27905	93818
917	27936	93792
918	27961	93743
919	27991	93709
920	28020	93677
921	28051	93648
922	28080	93611
923	28111	93583
924	28139	93545
925	28167	93507
926	28198	93477
927	28225	93436
928	28253	93396
929	28280	93357
930	28311	93326
931	28341	93296
932	28370	93259
933	28399	93224
934	28430	93196
935	28461	93167
936	28490	93133
937	28517	93091
938	28547	93061
939	28579	93035
940	28602	92980
941	28630	92942
942	28660	92909
943	28688	92873
944	28718	92842
945	28749	92812
946	28776	92771
947	28802	92726
948	28827	92680
949	28853	92636
950	28883	92604
951	28910	92561
952	28931	92501
953	28958	92459
954	28994	92447
955	29020	92404
956	29051	92375
957	29072	92315
958	29099	92273
959	29125	92231
960	29149	92180
961	29174	92134
962	29202	92096
963	29229	92055
964	29254	92007
965	29285	91979
966	29318	91957
967	29349	91930
968	29378	91895
969	29408	91864
970	29435	91823
971	29456	91765
972	29480	91712
973	29509	91680
974	29535	91635
975	29558	91584
976	29581	91530
977	29605	91480
978	29631	91438
979	29658	91396
980	29680	91342
981	29704	91289
982	29728	91241
983	29752	91192
984	29778	91148
985	29802	91101
986	29825	91048
987	29850	91000
988	29873	90950
989	29898	90903
990	29923	90858
991	29949	90815
992	29973	90765
993	29996	90714
994	30025	90679
995	30050	90634
996	30073	90583
997	30092	90518
998	30114	90465
999	30140	90420
1000	30165	90376
1001	30195	90344
1002	30217	90292
1003	30240	90240
1004	30263	90188
1005	30283	90126
1006	30307	90080
1007	30335	90042
1008	30358	89993
1009	30390	89967
1010	30420	89936
1011	30444	89888
1012	30473	89855
1013	30499	89813
1014	30526	89775
1015	30556	89745
1016	30584	89707
1017	30608	89660
1018	30634	89617
1019	30656	89565
1020	30683	89526
1021	30715	89501
1022	30745	89470
1023	30775	89441
1024	30800	89397
1025	30830	89366
1026	30861	89337
1027	30889	89301
1028	30917	89268
1029	30945	89230
1030	30978	89209
1031	31007	89177
1032	31034	89137
1033	31062	89103
1034	31095	89079
1035	31120	89036
1036	31147	88996
1037	31174	88957
1038	31202	88923
1039	31232	88892
1040	31259	88854
1041	31286	88813
1042	31311	88771
1043	31338	88732
1044	31370	88708
1045	31399	88676
1046	31426	88636
1047	31454	88600
1048	31483	88569
1049	31514	88539
1050	31539	88497
1051	31567	88460
1052	31592	88418
1053	31618	88375
1054	31647	88343
1055	31675	88306
1056	31701	88267
1057	31728	88226
1058	31752	88180
1059	31780	88144
1060	31800	88088
1061	31828	88052
1062	31850	88001
1063	31879	87969
1064	31911	87943
1065	31938	87905
1066	31965	87868
1067	31992	87829
1068	32020	87793
1069	32048	87759
1070	32073	87716
1071	32099	87675
1072	32129	87643
1073	32160	87616
1074	32187	87580
1075	32214	87540
1076	32239	87498
1077	32266	87461
1078	32297	87432
1079	32325	87399
1080	32351	87357
1081	32377	87316
1082	32402	87274
1083	32433	87247
1084	32466	87224
1085	32493	87186
1086	32520	87150
1087	32548	87114
1088	32576	87080
1089	32602	87039
1090	32631	87007
1091	32659	86972
1092	32689	86943
1093	32717	86908
1094	32744	86868
1095	32768	86824
1096	32795	86788
1097	32825	86758
1098	32852	86720
1099	32878	86680
1100	32905	86642
1101	32933	86606
1102	32965	86582
1103	32994	86551
1104	33020	86509
1105	33048	86474
1106	33078	86446
1107	33108	86415
1108	33138	86387
1109	33167	86355
1110	33198	86328
1111	33231	86305
1112	33256	86264
1113	33285	86231
1114	33316	86203
1115	33346	86175
1116	33372	86134
1117	33410	86126
1118	33439	86094
1119	33469	86064
1120	33501	86040
1121	33528	86001
1122	33553	85961
1123	33581	85925
1124	33610	85892
1125	33637	85856
1126	33665	85822
1127	33689	85776
1128	33718	85744
1129	33744	85703
1130	33768	85661
1131	33791	85613
1132	33817	85573
1133	33840	85525
1134	33866	85486
1135	33893	85450
1136	33921	85416
1137	33947	85374
1138	33975	85341
1139	34001	85303
1140	34028	85265
1141	34063	85247
1142	34098	85230
1143	34125	85193
1144	34155	85164
1145	34187	85141
1146	34220	85117
1147	34258	85109
1148	34292	85088
1149	34323	85062
1150	34355	85038
1151	34395	85034
1152	34431	85018
1153	34461	84990
1154	34493	84963
1155	34522	84931
1156	34560	84923
1157	34593	84900
1158	34622	84867
1159	34649	84830
1160	34676	84793
1161	34705	84762
1162	34730	84721
1163	34760	84691
1164	34788	84656
1165	34816	84622
1166	34844	84588
1167	34869	84547
1168	34899	84516
1169	34928	84485
1170	34958	84454
1171	34987	84423
1172	35013	84384
1173	35041	84351
1174	35069	84314
1175	35098	84284
1176	35118	84231
1177	35144	84191
1178	35168	84148
1179	35193	84106
1180	35220	84069
1181	35245	84029
1182	35271	83989
1183	35297	83950
1184	35324	83914
1185	35352	83881
1186	35378	83840
1187	35404	83801
1188	35429	83760
1189	35453	83717
1190	35480	83680
1191	35507	83645
1192	35533	83606
1193	35558	83566
1194	35584	83526
1195	35611	83490
1196	35639	83457
1197	35665	83419
1198	35692	83381
1199	35714	83334
1200	35745	83307
1201	35773	83274
1202	35799	83235
1203	35825	83196
1204	35859	83175
1205	35891	83150
1206	35918	83116
1207	35944	83076
1208	35971	83041
1209	36000	83008
1210	36029	82977
1211	36050	82928
1212	36079	82895
1213	36105	82857
1214	36131	82820
1215	36160	82788
1216	36187	82753
1217	36217	82723
1218	36245	82689
1219	36278	82667
1220	36308	82637
1221	36333	82598
1222	36357	82554
1223	36388	82527
1224	36417	82497
1225	36443	82459
1226	36473	82428
1227	36500	82392
1228	36530	82365
1229	36564	82344
1230	36591	82308
1231	36620	82277
1232	36651	82250
1233	36682	82222
1234	36713	82196
1235	36741	82163
1236	36772	82136
1237	36804	82112
1238	36838	82092
1239	36871	82068
1240	36902	82041
1241	36932	82012
1242	36963	81985
1243	36994	81958
1244	37021	81924
1245	37052	81897
1246	37086	81874
1247	37115	81845
1248	37147	81819
1249	37176	81788
1250	37209	81765
1251	37241	81740
1252	37270	81709
1253	37299	81677
1254	37329	81648
1255	37364	81631
1256	37392	81596
1257	37418	81559
1258	37451	81535
1259	37480	81505
1260	37509	81473
1261	37537	81441
1262	37566	81408
1263	37595	81377
1264	37626	81350
1265	37654	81316
1266	37683	81285
1267	37714	81257
1268	37743	81227
1269	37777	81206
1270	37809	81181
1271	37838	81150
1272	37868	81121
1273	37899	81095
1274	37925	81055
1275	37949	81013
1276	37976	80978
1277	38003	80943
1278	38026	80898
1279	38049	80856
1280	38074	80815
1281	38099	80775
1282	38124	80735
1283	38149	80696
1284	38174	80657
1285	38197	80613
1286	38220	80569
1287	38245	80529
1288	38271	80491
1289	38296	80452
1290	38320	80411
1291	38346	80372
1292	38372	80336
1293	38399	80301
1294	38426	80264
1295	38451	80226
1296	38474	80182
1297	38501	80147
1298	38527	80109
1299	38553	80073
1300	38579	80035
1301	38606	80000
1302	38631	79959
1303	38659	79927
1304	38685	79891
1305	38712	79855
1306	38738	79819
1307	38763	79778
1308	38789	79742
1309	38823	79720
1310	38848	79682
1311	38873	79642
1312	38898	79603
1313	38924	79567
1314	38952	79534
1315	38980	79501
1316	39006	79464
1317	39036	79435
1318	39066	79406
1319	39089	79362
1320	39113	79322
1321	39140	79288
1322	39164	79247
1323	39191	79212
1324	39221	79182
1325	39248	79148
1326	39277	79117
1327	39303	79080
1328	39333	79051
1329	39363	79022
1330	39389	78986
1331	39419	78958
1332	39446	78922
1333	39471	78882
1334	39498	78849
1335	39525	78813
1336	39549	78773
1337	39576	78738
1338	39601	78701
1339	39625	78660
1340	39649	78619
1341	39672	78577
1342	39697	78538
1343	39722	78498
1344	39747	78460
1345	39769	78416
1346	39794	78377
1347	39818	78337
1348	39843	78298
1349	39868	78259
1350	39894	78224
1351	39918	78183
1352	39942	78142
1353	39962	78094
1354	39987	78055
1355	40014	78022
1356	40038	77981
1357	40063	77943
1358	40088	77904
1359	40113	77867
1360	40136	77825
1361	40161	77787
1362	40187	77749
1363	40211	77710
1364	40233	77667
1365	40260	77632
1366	40285	77594
1367	40309	77554
1368	40331	77510
1369	40354	77468
1370	40379	77430
1371	40403	77390
1372	40427	77351
1373	40450	77309
1374	40481	77283
1375	40510	77251
1376	40541	77226
1377	40568	77191
1378	40596	77159
1379	40626	77130
1380	40656	77102
1381	40681	77065
1382	40708	77030
1383	40732	76991
1384	40759	76957
1385	40789	76929
1386	40818	76899
1387	40845	76865
1388	40873	76833
1389	40903	76803
1390	40934	76778
1391	40962	76745
1392	40988	76709
1393	41014	76673
1394	41043	76643
1395	41070	76610
1396	41098	76577
1397	41125	76543
1398	41146	76499
1399	41175	76469
1400	41204	76438
1401	41232	76406
1402	41260	76374
1403	41287	76340
1404	41317	76312
1405	41345	76280
1406	41371	76244
1407	41398	76210
1408	41424	76175
1409	41455	76149
1410	41483	76116
1411	41509	76081
1412	41534	76043
1413	41561	76009
1414	41590	75979
1415	41617	75946
1416	41645	75913
1417	41671	75878
1418	41701	75849
1419	41730	75820
1420	41757	75786
1421	41783	75751
1422	41809	75715
1423	41837	75683
1424	41866	75652
1425	41893	75619
1426	41919	75585
1427	41946	75550
1428	41971	75513
1429	42001	75485
